BFS_NR,Gemeindename,Jahr,Einwohner_pro_Quadratkilometer,Einwohner 0-14 Jahre alt,Einwohner 15-29 Jahre alt,Einwohner 30-44 Jahre alt,Einwohner 45-59 Jahre alt,Einwohner 60-74 Jahre alt,Einwohner 75-89 Jahre alt,Einwohner 90-104 Jahre alt,durchschnittliches_steuerbares_Einkommen_pro_Einwohner,Finanzvermoegen_pro_Einwohner,Einwohner,Einbruchdiebstahl_Total,Einschleichdiebstahl_Total,Einbruchdiebstahl_Versucht,Einschleichdiebstahl_Versucht,Einbruchdiebstahl_Vollendet,Einschleichdiebstahl_Vollendet
114,Fischenthal,2010,75.9,437,405,542,500,273,111,20,47229.0,5420.0,2287.0,8.0,2.0,2.0,0.0,6.0,2.0
115,Gossau,2010,521.8,1556,1680,2001,2236,1487,539,40,61341.0,4090.0,9509.0,34.0,11.0,6.0,0.0,28.0,11.0
116,Grüningen,2010,359.7,505,570,655,778,450,194,13,60884.0,6281.0,2969.0,7.0,4.0,0.0,0.0,7.0,4.0
117,Hinwil,2010,464.5,1571,1954,2132,2335,1668,651,53,57406.0,5396.0,10128.0,55.0,5.0,17.0,0.0,38.0,5.0
118,Rüti,2010,1183.9,1771,2422,2486,2584,1727,872,72,48394.0,6292.0,11833.0,72.0,14.0,42.0,3.0,30.0,11.0
119,Seegräben,2010,343.8,219,233,285,294,201,62,2,63435.0,6299.0,1303.0,13.0,2.0,3.0,0.0,10.0,2.0
120,Wald,2010,355.0,1403,1746,1755,2152,1161,683,61,49379.0,2969.0,8928.0,25.0,9.0,11.0,2.0,14.0,7.0
121,Wetzikon,2010,1321.4,3391,4555,4787,4721,3049,1460,118,51993.0,6706.0,21586.0,133.0,30.0,49.0,4.0,84.0,26.0
131,Adliswil,2010,2113.8,2348,2907,3778,3389,2652,1324,89,61456.0,3710.0,16161.0,135.0,29.0,53.0,1.0,82.0,28.0
135,Kilchberg,2010,2866.9,1091,941,1822,1610,1232,660,98,116868.0,10554.0,7400.0,87.0,8.0,40.0,0.0,47.0,8.0
136,Langnau,2010,838.2,1126,1156,1512,1565,1283,566,42,71703.0,4875.0,7214.0,43.0,5.0,18.0,0.0,25.0,5.0
137,Oberrieden,2010,1781.9,699,687,960,1148,931,461,50,96940.0,13043.0,4919.0,10.0,2.0,3.0,0.0,7.0,2.0
138,Richterswil,2010,1633.9,1967,2118,2741,2788,1909,747,66,67301.0,4175.0,12080.0,42.0,13.0,12.0,1.0,30.0,12.0
139,Rüschlikon,2010,1790.1,757,745,1123,1235,835,484,48,125363.0,15995.0,5210.0,53.0,16.0,17.0,2.0,36.0,14.0
141,Thalwil,2010,3119.6,2488,2547,4303,3757,2682,1283,129,80786.0,5004.0,16896.0,65.0,10.0,20.0,0.0,45.0,10.0
151,Erlenbach,2010,1772.6,902,716,1125,1251,843,375,35,125901.0,16574.0,5221.0,38.0,6.0,14.0,1.0,24.0,5.0
152,Herrliberg,2010,677.3,996,811,1177,1534,1015,489,47,137122.0,14731.0,5951.0,39.0,12.0,12.0,1.0,27.0,11.0
153,Hombrechtikon,2010,657.4,1337,1310,1652,1828,1258,553,56,61624.0,4703.0,7887.0,96.0,11.0,28.0,0.0,68.0,11.0
154,Küsnacht,2010,1094.8,1972,1726,2843,2987,2377,1453,141,131339.0,16173.0,13455.0,71.0,19.0,25.0,1.0,46.0,18.0
155,Männedorf,2010,2197.3,1839,1339,2392,2246,1713,824,84,78464.0,4691.0,10235.0,87.0,23.0,22.0,3.0,65.0,20.0
156,Meilen,2010,1052.8,1845,1684,2822,2803,2121,1136,128,98357.0,13242.0,12253.0,95.0,26.0,30.0,2.0,65.0,24.0
157,Oetwil,2010,719.8,706,815,1031,1024,602,176,15,53227.0,4694.0,4422.0,9.0,7.0,5.0,0.0,4.0,7.0
158,Stäfa,2010,1617.1,2123,1966,2960,3228,2478,1089,79,78206.0,7439.0,13785.0,72.0,31.0,22.0,1.0,50.0,30.0
159,Uetikon,2010,1631.9,1045,789,1206,1351,936,364,37,91188.0,8035.0,5703.0,40.0,4.0,10.0,0.0,30.0,4.0
160,Zumikon,2010,928.3,795,677,955,1077,989,550,44,155333.0,13151.0,5072.0,35.0,4.0,12.0,1.0,23.0,3.0
161,Zollikon,2010,1530.9,1721,1366,2619,2537,2172,1416,192,127722.0,8319.0,12049.0,66.0,6.0,30.0,0.0,36.0,6.0
172,Fehraltorf,2010,619.5,950,1106,1433,1336,815,229,16,64275.0,6101.0,5668.0,32.0,17.0,3.0,2.0,29.0,15.0
173,Hittnau,2010,266.5,608,621,771,908,418,129,12,59335.0,3763.0,3414.0,4.0,3.0,2.0,0.0,2.0,3.0
176,Lindau,2010,419.7,870,829,1172,1184,713,221,18,68190.0,4340.0,4937.0,25.0,22.0,9.0,0.0,16.0,22.0
177,Pfäffikon,2010,544.0,1597,1866,2298,2345,1692,737,67,58021.0,3950.0,10388.0,48.0,26.0,14.0,1.0,34.0,25.0
178,Russikon,2010,286.8,628,633,856,1016,695,248,20,70382.0,3088.0,4021.0,15.0,4.0,3.0,0.0,12.0,4.0
180,Weisslingen,2010,252.9,571,524,643,803,497,177,10,67751.0,6998.0,3161.0,5.0,0.0,2.0,0.0,3.0,0.0
181,Wila,2010,209.4,285,378,373,489,276,122,10,49691.0,4761.0,1912.0,14.0,1.0,3.0,0.0,11.0,1.0
1,Aeugst,2011,242.8,301,291,386,528,286,114,5,79841.0,10535.0,1824.0,6.0,2.0,2.0,0.0,4.0,2.0
2,Affoltern,2011,1050.9,1660,2263,2356,2499,1633,682,47,54879.0,4514.0,11091.0,103.0,26.0,36.0,2.0,67.0,24.0
3,Bonstetten,2011,693.4,944,815,1272,1159,747,215,14,68843.0,2302.0,5159.0,16.0,8.0,5.0,0.0,11.0,8.0
4,Hausen,2011,245.8,597,528,695,813,543,175,11,62933.0,8764.0,3360.0,8.0,1.0,0.0,0.0,8.0,1.0
5,Hedingen,2011,530.5,584,637,705,861,508,154,15,73116.0,6555.0,3410.0,14.0,4.0,3.0,0.0,11.0,4.0
6,Kappel,2011,121.6,191,134,219,227,132,45,4,67476.0,7982.0,918.0,6.0,0.0,0.0,0.0,6.0,0.0
7,Knonau,2011,290.9,328,318,422,441,268,107,10,56028.0,6367.0,1800.0,19.0,5.0,4.0,0.0,15.0,5.0
8,Maschwanden,2011,137.0,112,102,154,131,96,42,4,50981.0,4541.0,616.0,0.0,1.0,0.0,0.0,0.0,1.0
9,Mettmenstetten,2011,335.3,737,764,898,1093,672,193,19,68155.0,7871.0,4243.0,32.0,9.0,13.0,0.0,19.0,9.0
10,Obfelden,2011,629.9,831,846,1015,1081,746,217,20,58880.0,5403.0,4686.0,22.0,5.0,4.0,1.0,18.0,4.0
11,Ottenbach,2011,493.8,396,388,483,616,441,121,14,63292.0,6671.0,2410.0,24.0,2.0,9.0,0.0,15.0,2.0
12,Rifferswil,2011,142.0,190,145,209,200,131,54,4,60365.0,6666.0,900.0,4.0,0.0,0.0,0.0,4.0,0.0
13,Stallikon,2011,271.9,496,445,816,823,497,181,7,79828.0,4717.0,3161.0,24.0,7.0,8.0,0.0,16.0,7.0
22,Benken,2011,144.4,123,149,161,227,110,45,4,54420.0,10094.0,798.0,6.0,0.0,1.0,0.0,5.0,0.0
23,Berg,2011,83.0,64,110,107,154,118,29,4,55748.0,8567.0,599.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Buch,2011,87.8,173,151,206,212,117,34,1,61383.0,11315.0,874.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Dachsen,2011,726.4,358,303,396,472,295,123,7,59113.0,6093.0,1939.0,10.0,0.0,2.0,0.0,8.0,0.0
26,Dorf,2011,114.3,114,113,125,159,96,24,2,65640.0,5623.0,632.0,2.0,0.0,0.0,0.0,2.0,0.0
27,Feuerthalen,2011,1385.6,516,622,812,779,461,251,23,54069.0,4749.0,3490.0,17.0,3.0,3.0,0.0,14.0,3.0
