Ausgangsjahr,Gemeinde_BFS_Nr,Gemeindename,Stadtkreis_BFS_Nr,Stadtkreis_Name,Gesetz_Nummer,Gesetz_Abk,Tatbestand,Straftaten_total,Straftaten_vollendet,Straftaten_versucht,Einwohner,Häufigkeitszahl
2009,85,Dänikon,,,311.0,StGB,Einschleichdiebstahl,5,5,0,1841.0,2.7
2009,85,Dänikon,,,311.0,StGB,Einbrüche insgesamt,11,8,3,1841.0,6.0
2009,215,Dättlikon,,,311.0,StGB,Einbruchdiebstahl,1,1,0,649.0,1.5
2009,215,Dättlikon,,,311.0,StGB,Einschleichdiebstahl,0,0,0,649.0,0.0
2009,215,Dättlikon,,,311.0,StGB,Einbrüche insgesamt,1,1,0,649.0,1.5
2009,191,Dübendorf,,,311.0,StGB,Einbruchdiebstahl,221,138,83,23852.0,9.3
2009,191,Dübendorf,,,311.0,StGB,Einschleichdiebstahl,64,63,1,23852.0,2.7
2009,191,Dübendorf,,,311.0,StGB,Einbrüche insgesamt,285,201,84,23852.0,11.9
2009,113,Dürnten,,,311.0,StGB,Einbruchdiebstahl,32,24,8,6421.0,5.0
2009,113,Dürnten,,,311.0,StGB,Einschleichdiebstahl,7,5,2,6421.0,1.1
2009,113,Dürnten,,,311.0,StGB,Einbrüche insgesamt,39,29,10,6421.0,6.1
2009,192,Egg,,,311.0,StGB,Einbruchdiebstahl,12,6,6,7975.0,1.5
2009,192,Egg,,,311.0,StGB,Einschleichdiebstahl,1,1,0,7975.0,0.1
2009,192,Egg,,,311.0,StGB,Einbrüche insgesamt,13,7,6,7975.0,1.6
2009,55,Eglisau,,,311.0,StGB,Einbruchdiebstahl,24,18,6,3684.0,6.5
2009,55,Eglisau,,,311.0,StGB,Einschleichdiebstahl,7,7,0,3684.0,1.9
2009,55,Eglisau,,,311.0,StGB,Einbrüche insgesamt,31,25,6,3684.0,8.4
2009,294,Elgg,,,311.0,StGB,Einbruchdiebstahl,29,16,13,4221.0,6.9
2009,294,Elgg,,,311.0,StGB,Einschleichdiebstahl,3,3,0,4221.0,0.7
2009,294,Elgg,,,311.0,StGB,Einbrüche insgesamt,32,19,13,4221.0,7.6
2009,218,Ellikon,,,311.0,StGB,Einbruchdiebstahl,2,2,0,837.0,2.4
2009,218,Ellikon,,,311.0,StGB,Einschleichdiebstahl,2,2,0,837.0,2.4
2009,218,Ellikon,,,311.0,StGB,Einbrüche insgesamt,4,4,0,837.0,4.8
2009,219,Elsau,,,311.0,StGB,Einbruchdiebstahl,21,11,10,3267.0,6.4
2009,219,Elsau,,,311.0,StGB,Einschleichdiebstahl,5,5,0,3267.0,1.5
2009,219,Elsau,,,311.0,StGB,Einbrüche insgesamt,26,16,10,3267.0,8.0
2009,56,Embrach,,,311.0,StGB,Einbruchdiebstahl,29,20,9,8686.0,3.3
2009,56,Embrach,,,311.0,StGB,Einschleichdiebstahl,13,12,1,8686.0,1.5
2009,56,Embrach,,,311.0,StGB,Einbrüche insgesamt,42,32,10,8686.0,4.8
2009,151,Erlenbach,,,311.0,StGB,Einbruchdiebstahl,53,38,15,5179.0,10.2
2009,151,Erlenbach,,,311.0,StGB,Einschleichdiebstahl,8,8,0,5179.0,1.5
2009,151,Erlenbach,,,311.0,StGB,Einbrüche insgesamt,61,46,15,5179.0,11.8
2009,172,Fehraltorf,,,311.0,StGB,Einbruchdiebstahl,46,27,19,5208.0,8.8
2009,172,Fehraltorf,,,311.0,StGB,Einschleichdiebstahl,10,10,0,5208.0,1.9
